Stereotype,characterization,componentOf,derivation,externalDependence,historicalDependence,instantiation,material,mediation,memberOf,participation,none,other
characterization,1.0,0.19444212413873138,-0.02438662486104525,0.4311965399457944,0.2705409734020398,0.33357660278230306,0.09042036571743166,0.2988226884723919,0.05463285199232176,0.31786893951460465,-0.06037731256197746,0.05841406670688749
componentOf,0.19444212413873138,1.0,-0.026310828379877454,0.011722888803110385,0.06786867449506921,0.18007737305402297,0.22636697755920246,0.19490236967614805,0.26370566332189244,-0.031908005476451146,-0.15902361305379634,-0.047145334190620176
derivation,-0.02438662486104525,-0.026310828379877454,1.0,-0.09135521182711275,-0.11937769962203053,-0.15120234824864404,0.43223172033337687,0.31309136755359007,0.15066676567256426,-0.06909030900837271,-0.007567176292505405,0.3046566955467773
externalDependence,0.4311965399457944,0.011722888803110385,-0.09135521182711275,1.0,0.36876871590597515,0.5287316831943635,-0.2546174529127238,0.13204144410028537,0.13853448180468692,0.3678906131073533,-0.027095077130838183,0.07886038731099607
historicalDependence,0.2705409734020398,0.06786867449506921,-0.11937769962203053,0.36876871590597515,1.0,0.5803334952738958,-0.011167095703284141,0.10244602101029021,0.08175675599967604,0.578588986435998,-0.1587661518860662,-0.04594326163776007
instantiation,0.33357660278230306,0.18007737305402297,-0.15120234824864404,0.5287316831943635,0.5803334952738958,1.0,-0.14128636491190177,0.09304946609729757,0.01223002380048502,0.5259449531598978,-0.0745728497519094,0.09514858541742152
material,0.09042036571743166,0.22636697755920246,0.43223172033337687,-0.2546174529127238,-0.011167095703284141,-0.14128636491190177,1.0,0.2870572522393817,0.1255117436420494,-0.06594276437030316,-0.19464563901628604,0.1129526105842456
mediation,0.2988226884723919,0.19490236967614805,0.31309136755359007,0.13204144410028537,0.10244602101029021,0.09304946609729757,0.2870572522393817,1.0,0.29488932629863407,0.027506373781230966,-0.3201524352338564,0.1649368281379999
memberOf,0.05463285199232176,0.26370566332189244,0.15066676567256426,0.13853448180468692,0.08175675599967604,0.01223002380048502,0.1255117436420494,0.29488932629863407,1.0,0.13527924961879545,-0.34149768597846214,0.18912985778452185
participation,0.31786893951460465,-0.031908005476451146,-0.06909030900837271,0.3678906131073533,0.578588986435998,0.5259449531598978,-0.06594276437030316,0.027506373781230966,0.13527924961879545,1.0,-0.06874618882128535,0.0914944297705883
none,-0.06037731256197746,-0.15902361305379634,-0.007567176292505405,-0.027095077130838183,-0.1587661518860662,-0.0745728497519094,-0.19464563901628604,-0.3201524352338564,-0.34149768597846214,-0.06874618882128535,1.0,-0.1081247137619118
other,0.05841406670688749,-0.047145334190620176,0.3046566955467773,0.07886038731099607,-0.04594326163776007,0.09514858541742152,0.1129526105842456,0.1649368281379999,0.18912985778452185,0.0914944297705883,-0.1081247137619118,1.0
