Stereotype,Frequency,Rank,Cumulative Frequency,Cumulative Percentage
kind,157,1,157,17.581187010078388
subkind,148,2,305,34.1545352743561
event,121,3,426,47.704367301231805
role,95,4,521,58.34266517357223
relator,85,5,606,67.86114221724524
category,72,6,678,75.92385218365062
mode,55,7,733,82.0828667413214
roleMixin,54,8,787,88.12989921612542
phase,24,9,811,90.81746920492722
collective,16,10,827,92.60918253079508
situation,15,11,842,94.2889137737962
quality,13,12,855,95.74468085106383
enumeration,10,13,865,96.86450167973123
quantity,10,14,875,97.98432250839866
datatype,7,15,882,98.76819708846585
mixin,6,16,888,99.44008958566629
type,5,17,893,100.0
abstract,0,18,893,100.0
phaseMixin,0,19,893,100.0
historicalRole,0,20,893,100.0
historicalRoleMixin,0,21,893,100.0
