stereotype,geometric_mean_correlation,rank
category,4.052067800239362,8
event,4.4731706112612155,3
kind,4.2458989809855225,7
mode,3.451651294397842,14
phase,2.5673343568684945,18
relator,3.6766000675386876,12
role,3.3109834555627424,17
roleMixin,4.579733364955627,1
subkind,3.817336782122304,11
type,3.338497680264013,16
none_c,3.940652493557066,9
other_c,2.531854868641237,19
characterization,4.29082858650895,5
componentOf,3.365842734226806,15
derivation,4.298005063368277,4
material,3.851485797977095,10
mediation,4.4752744754116565,2
none_r,4.280690653789048,6
other_r,3.5537468050676555,13
